order_id,date,customer_code,product_code,product_id,sold_quantity
FNOV731202503,2025-11-30,789202,062f5574bbdf4386b2c7c6075483b417b4a00b172fcba919dbba7dae1b774379,25891503,130
FDEC83202103,2025-11-30,999999,102628255d24304d6bbe0438b1ac992054f262e0814d306d0a34d7356cef3268,25891103,491
FDEC82702102,2025-11-30,789702,e92c739a8d78cd6cbe954648c2f9dd75ed61fcfd99b03e10dca65c3082d0728e,25891102,431
FDEC82401401,2025-11-30,789401,da6bfc596c1360ca07bda4e0ae6bfe3b8456517fc6e8ddc265630ff940f9ab05,25891401,461
FDEC82101501,2025-11-30,789101,ee1f7df9cf660ef02c33037d8d6eb94cbefe8e7b84c306e9387f09b0cae0abae,25891501,160
FDEC81521601,2025-11-30,789521,716fa4e54b7894c910180276e0535d49afb25cdcfac09533fb74ae00689e5742,25891601,74
FNOV731621602,2025-11-30,999999,778c2a7aa27bfdb211fd5ece048de80d00fbf3d6924bd908d91054796ba16ab6,25891602,123
FNOV731201402,2025-11-30,789201,d9ebd1ca64d23951a6310af93b1c5ac27d831ac842e89aea59a9e8b38621faa5,25891302,38
FDEC83102301,2025-11-30,789102,e91ba9d665f90254da5809bfdebe3db2be01a52f50b6fd96b57eed238392b843,25891101,398
FDEC82703601,2025-11-30,789703,e92c739a8d78cd6cbe954648c2f9dd75ed61fcfd99b03e10dca65c3082d0728e,25891102,447
FDEC82520402,2025-11-30,789520,2e387cef1424d6e7b162b45622d4b1a788d11776e33d05cc8552f4ecd2ea1896,25891201,172
FDEC82321403,2025-11-30,789321,c68834ceaff15846bc1892c2185dc4e4f471d64fe3796b1a8ecc39a5a48c614f,25891303,98
FDEC82303601,2025-11-30,789303,0cb7b2f42657b625f754e833aa1cf6a967be26f17415f5342302ebb0e90c8a28,25891202,158
FDEC82202303,2025-11-30,789202,d9ebd1ca64d23951a6310af93b1c5ac27d831ac842e89aea59a9e8b38621faa5,25891302,42
FDEC82121402,2025-11-30,789121,2e387cef1424d6e7b162b45622d4b1a788d11776e33d05cc8552f4ecd2ea1896,25891201,100
FDEC81621403,2025-11-30,789621,da6bfc596c1360ca07bda4e0ae6bfe3b8456517fc6e8ddc265630ff940f9ab05,25891401,349
FDEC81603601,2025-11-30,999999,e92c739a8d78cd6cbe954648c2f9dd75ed61fcfd99b03e10dca65c3082d0728e,25891102,498
FDEC81421603,2025-11-30,789421,451f7167b28a25bde73995910e31c07dfa26411f1db47847f19e16747effbdaa,25891603,84
FDEC81321401,2025-11-30,789321,d9ebd1ca64d23951a6310af93b1c5ac27d831ac842e89aea59a9e8b38621faa5,25891302,69
FDEC81301602,2025-11-30,789301,778c2a7aa27bfdb211fd5ece048de80d00fbf3d6924bd908d91054796ba16ab6,25891602,156
FDEC83622601,2025-11-30,999999,716fa4e54b7894c910180276e0535d49afb25cdcfac09533fb74ae00689e5742,25891601,70
FDEC83603503,2025-11-30,999999,e92c739a8d78cd6cbe954648c2f9dd75ed61fcfd99b03e10dca65c3082d0728e,25891102,438
FDEC83503501,2025-11-30,999999,da6bfc596c1360ca07bda4e0ae6bfe3b8456517fc6e8ddc265630ff940f9ab05,25891401,373
FDEC82603602,2025-11-30,789603,778c2a7aa27bfdb211fd5ece048de80d00fbf3d6924bd908d91054796ba16ab6,25891602,159
FDEC82603602,2025-11-30,789603,e92c739a8d78cd6cbe954648c2f9dd75ed61fcfd99b03e10dca65c3082d0728e,25891102,407
FDEC81420103,2025-11-30,789420,e91ba9d665f90254da5809bfdebe3db2be01a52f50b6fd96b57eed238392b843,25891101,340
FDEC81420103,2025-11-30,789420,102628255d24304d6bbe0438b1ac992054f262e0814d306d0a34d7356cef3268,25891103,336
FNOV731601603,2025-11-30,789601,451f7167b28a25bde73995910e31c07dfa26411f1db47847f19e16747effbdaa,25891603,140
FNOV731220403,2025-11-30,999999,102628255d24304d6bbe0438b1ac992054f262e0814d306d0a34d7356cef3268,25891103,302
FDEC81501603,2025-11-30,789501,ee1f7df9cf660ef02c33037d8d6eb94cbefe8e7b84c306e9387f09b0cae0abae,25891501,229
FDEC81303602,2025-11-30,789303,062f5574bbdf4386b2c7c6075483b417b4a00b172fcba919dbba7dae1b774379,25891503,224
FNOV731101601,2025-11-30,789101,fe5a8036be4b9a787b7c0ae013fc752a8cfb6c55a2f7b2fd152a6380925e9c49,25891402,472
FDEC83203603,2025-11-30,789203,778c2a7aa27bfdb211fd5ece048de80d00fbf3d6924bd908d91054796ba16ab6,25891602,172
FDEC83203603,2025-11-30,789203,102628255d24304d6bbe0438b1ac992054f262e0814d306d0a34d7356cef3268,25891103,349
FDEC82621601,2025-11-30,789621,716fa4e54b7894c910180276e0535d49afb25cdcfac09533fb74ae00689e5742,25891601,145
FDEC81401303,2025-11-29,789401,c68834ceaff15846bc1892c2185dc4e4f471d64fe3796b1a8ecc39a5a48c614f,25891303,54
FNOV730521303,2025-11-29,789521,e92c739a8d78cd6cbe954648c2f9dd75ed61fcfd99b03e10dca65c3082d0728e,25891102,474
FNOV730501602,2025-11-29,789501,778c2a7aa27bfdb211fd5ece048de80d00fbf3d6924bd908d91054796ba16ab6,25891602,161
FNOV730103601,2025-11-29,789103,716fa4e54b7894c910180276e0535d49afb25cdcfac09533fb74ae00689e5742,25891601,116
FNOV731601403,2025-11-29,789601,da6bfc596c1360ca07bda4e0ae6bfe3b8456517fc6e8ddc265630ff940f9ab05,25891401,240
FNOV731501503,2025-11-29,789501,fe5a8036be4b9a787b7c0ae013fc752a8cfb6c55a2f7b2fd152a6380925e9c49,25891402,357
FNOV731301603,2025-11-29,789301,ee1f7df9cf660ef02c33037d8d6eb94cbefe8e7b84c306e9387f09b0cae0abae,25891501,121
FNOV730202501,2025-11-29,789202,c68834ceaff15846bc1892c2185dc4e4f471d64fe3796b1a8ecc39a5a48c614f,25891303,55
FDEC81401601,2025-11-29,789401,716fa4e54b7894c910180276e0535d49afb25cdcfac09533fb74ae00689e5742,25891601,88
