date,product_code,customer_code,date_key,year,month_name,month_short_name,quarter,year_quarter,customer,market,platform,channel,division,category,product,variant,sold_quantity,price_inr,total_amount_inr
2024-01-01,ARCHDDE20D,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Archery,Arrows,PX Carbon Arrow Set,12 Pack,161,2750,442750
2024-01-01,ARCH158F41,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Archery,Finger Tab,LX Leather Finger Tab,Universal,133,5740,763420
2024-01-01,ARCHAFF0E4,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Archery,Bow,AX Precision Recurve Bow,26 lbs,76,4610,350360
2024-01-01,ARCH6B94F7,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Archery,Bow,AX Precision Recurve Bow,30 lbs,92,3910,359720
2024-01-01,ARCH5D1FE7,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Archery,Bow Stringer,BX Bow Stringing Tool,Standard,117,1610,188370
2024-01-01,ARCH7B49A9,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Archery,Arm Guard,NX Archery Arm Guard,Medium,36,1610,57960
2024-01-01,ARCH497D34,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Archery,Target,TX Foam Archery Target,80 cm,98,1100,107800
2024-01-01,ARCHE71D79,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Archery,Arm Guard,NX Archery Arm Guard,Large,156,5830,909480
2024-01-01,BADM88C384,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Intermediate,28,790,22120
2024-01-01,BADMA5EBA3,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Even Balance,33,5910,195030
